event_datetime,city,temperature,light,airquality_raw,sound,humidity,dust
2015-03-07T12:00:00.000Z,San Francisco,16.23622194,0.021868553,28.40224085,1545.906508,56.33395402,1004.227178
2015-03-07T13:00:00.000Z,San Francisco,16.02260689,0.119747899,27.30686656,1546.630622,57.77051987,1018.987671
2015-03-07T14:00:00.000Z,San Francisco,15.8818548,107.8310297,28.02693596,1570.751177,59.19239904,1048.580254
2015-03-07T15:00:00.000Z,San Francisco,17.36951143,1187.332423,30.65969251,1571.341197,57.5608653,1050.874436
2015-03-07T16:00:00.000Z,San Francisco,19.13118946,2192.882957,29.187996,1584.104895,54.68397027,1077.152655
2015-03-07T17:00:00.000Z,San Francisco,20.39981756,2582.434507,30.13101571,1649.40416,49.97619356,1074.696457
2015-03-07T18:00:00.000Z,San Francisco,21.90575437,2765.137684,32.11939556,1697.193754,43.7639438,1045.791465
2015-03-07T19:00:00.000Z,San Francisco,24.43154172,3462.577982,32.67250668,1732.475007,36.22911148,1039.167128
2015-03-07T20:00:00.000Z,San Francisco,27.07293865,5498.290612,29.9058511,1717.068975,29.87055592,1082.764698
2015-03-07T21:00:00.000Z,San Francisco,29.58579884,6430.860553,27.64845704,1724.981138,24.7048899,1192.725322
2015-03-07T22:00:00.000Z,San Francisco,30.32701772,5556.577218,26.45985593,1741.784565,24.124977,1188.171053
2015-03-07T23:00:00.000Z,San Francisco,28.75602768,3688.630706,25.16139894,1767.270739,26.51086103,1065.742992
2015-03-08T00:00:00.000Z,San Francisco,25.59459016,2024.387232,23.44418863,1702.862334,29.49845081,1030.126849
2015-03-08T01:00:00.000Z,San Francisco,22.94313141,587.7268349,22.30769674,1691.187742,31.1911379,1023.658186
2015-03-08T02:00:00.000Z,San Francisco,21.08944307,23.81607981,23.15158034,1687.272351,38.98023522,1103.53048
2015-03-08T03:00:00.000Z,San Francisco,19.68669818,1.392222222,24.53704463,1665.537134,47.86740933,1176.113026
2015-03-08T04:00:00.000Z,San Francisco,18.51799177,1.421254789,24.34866873,1644.259783,53.21681805,1173.008206
2015-03-08T05:00:00.000Z,San Francisco,17.17273021,1.133198107,24.02464429,1630.697563,59.09932036,1201.847493
2015-03-08T06:00:00.000Z,San Francisco,16.14943903,0.813116971,22.65800286,1612.450906,61.89030716,1177.341195
2015-03-08T07:00:00.000Z,San Francisco,15.36362142,0.50409594,22.27667417,1651.719821,63.52007828,1193.652599
2015-03-08T08:00:00.000Z,San Francisco,15.09664036,0.379192455,22.26128558,1662.44811,63.87239366,1140.599615
2015-03-08T09:00:00.000Z,San Francisco,15.06853752,0.422275069,22.1599795,1616.893117,63.07597878,1159.869089
2015-03-08T10:00:00.000Z,San Francisco,15.13710939,0.287375479,22.43975999,1587.458892,61.74928273,1141.769064
2015-03-08T11:00:00.000Z,San Francisco,15.25743059,0.122920892,23.06496812,1598.779663,60.31422913,1144.211804
2015-03-08T12:00:00.000Z,San Francisco,15.15297477,0.150906769,23.44661583,1584.968017,59.70314543,1151.715584
2015-03-08T13:00:00.000Z,San Francisco,14.90728399,0.262969349,23.54110237,1609.095225,59.84682407,1113.558751
2015-03-08T14:00:00.000Z,San Francisco,14.55679033,95.59039778,23.78237376,1644.676745,61.26352797,1130.693584
2015-03-08T15:00:00.000Z,San Francisco,15.45515147,885.4184131,23.19331404,1635.630084,61.13023276,1173.033302
2015-03-08T16:00:00.000Z,San Francisco,16.64410177,1586.563234,22.89314378,1627.70777,57.33083452,1190.045147
2015-03-08T17:00:00.000Z,San Francisco,17.9853462,2818.145609,22.95613819,1614.436891,52.77713845,1161.324603
2015-03-08T18:00:00.000Z,San Francisco,19.7258663,2946.476404,24.14459839,1629.410314,49.07547622,1174.785607
